question,expected_keywords,response_expected,response_tf_idf,response_embeddings,type,precision_tf_idf,recall_tf_idf,cosine_sim_tf_idf,exact_match_tf_idf,precision_embeddings,recall_embeddings,cosine_sim_embeddings,exact_match_embeddings
¿Cuál es la misión principal de HistoriaCard?,"educación financiera, mejorar historial crediticio",HistoriaCard tiene la misión de mejorar el historial crediticio y educar financieramente a sus usuarios.,"Proporcionar herramientas financieras innovadoras y educativas que empoderen a los usuarios para que mejoren su historial crediticio, gestionen sus finanzas de manera efectiva y adquieran habilidades que les permitan tomar decisiones financieras informadas. 
","La misión de HistoriaCard es proporcionar herramientas financieras innovadoras y educativas que empoderen a los usuarios para que mejoren su historial crediticio, gestionen sus finanzas de manera efectiva y adquieran habilidades que les permitan tomar decisiones financieras informadas. 
",simple,0.0,0.0,0.13085353787716833,0.0,0.0,0.0,0.24077059122736388,0.0
¿Qué productos financieros ofrece HistoriaCard?,"tarjeta de crédito, tarjeta de débito",HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito.,"HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito. 
","HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito. 
",simple,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
¿Cómo contribuye HistoriaCard a la inclusión financiera?,"inclusión financiera, accesibilidad, historial crediticio",HistoriaCard busca incluir financieramente a más mexicanos a través de sus productos.,"HistoriaCard promueve la inclusión financiera en México convirtiéndose en la fintech líder y un referente mundial en la inclusión financiera. 
","HistoriaCard promueve la inclusión financiera en México al brindar a sus usuarios las herramientas necesarias para alcanzar la libertad financiera y prosperar. 
",simple,0.0,0.0,0.027951591525733056,0.0,0.0,0.0,0.07030492086459504,0.0
¿Cuáles son las características principales de la tarjeta de crédito HistoriaCard?,"línea de crédito, tasa de interés, pagos mínimos","Línea de crédito de $5,000 a $50,000 MXN, con tasas de 24%-36%.","- Línea de crédito inicial: $5,000 - $50,000 MXN, con posibilidad de aumentos periódicos basados en el comportamiento crediticio del usuario.
- Costo de emisión: Gratuito al abrir una cuenta en la app de HistoriaCard, con la tarjeta enviada directamente al domicilio del usuario. 
","- **Construye o mejora el historial crediticio.**
- **Ofrece una tarjeta de crédito y una tarjeta de débito.**
- **Tiene un programa de recompensas.** 
",simple,0.0,0.0,0.43477925266430606,0.0,0.0,0.0,0.2575041774336495,0.0
¿Qué beneficios adicionales ofrece HistoriaCard con su tarjeta de crédito?,"recompensas, promociones, seguro de compras","Recompensas, seguros de compra, promociones y asistencia en viajes.","Asesoría financiera personalizada para gestionar el préstamo. 
","Informacion no encontrada. 
",simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¿Cómo ayuda HistoriaCard a sus usuarios a mejorar su historial crediticio?,"manejo de crédito responsable, herramientas educativas",HistoriaCard educa y proporciona herramientas para el manejo responsable del crédito.,"HistoriaCard ayuda a sus usuarios a mejorar su historial crediticio al brindar educación financiera, enseñando a manejar deudas y promoviendo un manejo responsable de las finanzas personales. 
","HistoriaCard ayuda a los usuarios a construir o mejorar su historial crediticio con un enfoque en la educación financiera y la promoción de un manejo responsable de las finanzas personales. 
",medio,0.0,0.0,0.11217221742002856,0.0,0.0,0.0,0.09419121531299884,0.0
¿Qué tasa de interés ofrece la tarjeta de crédito HistoriaCard?,"24%-36%, pagos puntuales","24%-36%, ajustada según el perfil del usuario.","Tasa de interés anual: 24% - 36%, ajustada según el perfil crediticio del usuario y con opciones para reducir la tasa mediante un historial de pagos puntual. 
","24% - 36%, ajustada según el perfil crediticio del usuario y con opciones para reducir la tasa mediante un historial de pagos puntual. 
",medio,0.0,0.0,0.40208833895282275,0.0,0.0,0.0,0.48737511185211585,0.0
¿Qué funciones de seguridad ofrece HistoriaCard en su app?,"bloqueo, alertas, autenticación en dos pasos","HistoriaCard ofrece autenticación biométrica, bloqueo desde la app y alertas en caso de fraude.","HistoriaCard entiende que la seguridad es primordial cuando se trata de finanzas personales. 
","Informacion no encontrada 
",medio,0.0,0.0,0.1318488807660832,0.0,0.0,0.0,0.0,0.0
¿Cómo utiliza HistoriaCard la inteligencia artificial en sus servicios?,"IA para análisis crediticio, big data",Utiliza inteligencia artificial y big data para análisis de crédito y personalización.,"HistoriaCard utiliza la inteligencia artificial para ofrecer asesoramiento financiero automatizado y altamente personalizado, así como soluciones personalizadas y altamente eficientes. 
","HistoriaCard utiliza la inteligencia artificial para ofrecer asesoramiento financiero personalizado, evaluar el riesgo crediticio y proporcionar tasas de interés personalizadas. 
",medio,0.0,0.0,0.1683684216367985,0.0,0.0,0.0,0.22685311861094784,0.0
¿Cuáles son los principales objetivos de la expansión internacional de HistoriaCard?,"expansión nacional, mercados emergentes",Expandir su base de usuarios a otras regiones de México y Latinoamérica.,"- Promover la inclusión financiera en México.
- Expandirse a nuevos mercados internacionales. 
- Desarrollar una gama de nuevos productos financieros, incluyendo seguros y herramientas de inversión. 
","HistoriaCard tiene planes de expansión tanto en México como en el extranjero. 
",medio,0.0,0.0,0.16901817316431872,0.0,0.0,0.0,0.13637246931720076,0.0
¿Qué alianzas estratégicas ha establecido HistoriaCard?,"alianzas con ONGs, comercios",HistoriaCard ha establecido alianzas con comercios y ONGs para promover sus servicios.,"HistoriaCard ha establecido alianzas con una red extensa de comercios y proveedores de servicios en todo México, organizaciones no gubernamentales, aerolíneas y cadenas hoteleras. 
","HistoriaCard ha establecido alianzas con una red extensa de comercios y proveedores de servicios en todo México, organizaciones no gubernamentales, aerolíneas y cadenas hoteleras. 
",medio,0.041666666666666664,0.5,0.28465974767891,0.0,0.041666666666666664,0.5,0.28465974767891,0.0
¿Cómo contribuye HistoriaCard al ahorro de sus usuarios con la tarjeta de débito?,"intereses sobre saldo, ahorro automático",La tarjeta de débito ofrece intereses sobre saldo y opciones de ahorro automáticas.,"Informacion no encontrada 
","Información no encontrada. 
",medio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¿Qué herramientas educativas ofrece HistoriaCard en su app?,"artículos, guías, calculadoras","HistoriaCard ofrece guías, calculadoras y cursos en línea para educar financieramente.","La app de HistoriaCard ofrece recursos de educación financiera. 
","Informacion no encontrada. 
",medio,0.0,0.0,0.10658510262542636,0.0,0.0,0.0,0.0,0.0
¿Cómo protege HistoriaCard a los usuarios contra fraudes?,"detector de fraudes, alertas de seguridad",Detecta fraudes en tiempo real y envía alertas de seguridad a los usuarios.,"HistoriaCard utiliza sistemas avanzados de inteligencia artificial que monitorean las transacciones en tiempo real para detectar actividades sospechosas y prevenir fraudes. 
","Información no encontrada. 
",complejo,0.0,0.0,0.20697516270910865,0.0,0.0,0.0,0.0,0.0
¿Qué opciones de recompensas ofrece HistoriaCard?,"puntos, descuentos, vuelos","HistoriaCard ofrece puntos que pueden canjearse por descuentos, vuelos y experiencias.","Acumula puntos por cada compra, que pueden canjearse por descuentos, productos o experiencias. 
","Información no encontrada. 
",complejo,0.14285714285714285,0.6666666666666666,0.5259147320369777,0.0,0.0,0.0,0.0,0.0
¿Qué impacto tiene HistoriaCard en la sociedad mexicana?,"inclusión financiera, educación financiera",Impacto positivo en la inclusión financiera y educación de los mexicanos.,"HistoriaCard promueve la inclusión financiera en México y ha cambiado la vida de miles de mexicanos. 
","HistoriaCard promueve la inclusión financiera en México. 
",complejo,0.0,0.0,0.42220377850113805,0.0,0.0,0.0,0.31888272749308855,0.0
¿Qué innovaciones tecnológicas está explorando HistoriaCard?,"IA avanzada, DeFi",Está explorando IA avanzada y finanzas descentralizadas para mejorar sus productos.,"HistoriaCard está explorando la inteligencia artificial avanzada y las finanzas descentralizadas (DeFi). 
","HistoriaCard está explorando seguros y herramientas de inversión. 
",complejo,0.06666666666666667,0.5,0.3157851025196653,0.0,0.0,0.0,0.1375436045558623,0.0
¿Cómo ofrece HistoriaCard asistencia en viajes para sus usuarios?,"asistencia en viajes, seguro",Incluye seguro de viaje y asistencia en caso de emergencias en el extranjero.,"Incluye seguro de viaje y asistencia en el extranjero, desde emergencias médicas hasta reemplazo de tarjetas. 
","HistoriaCard ofrece vuelos y hoteles a través de alianzas con aerolíneas y cadenas hoteleras, permitiendo a los usuarios canjear puntos por boletos de avión, noches de hotel y paquetes vacacionales. 
",complejo,0.058823529411764705,0.5,0.6745958958223052,0.0,0.0,0.0,0.15738999505170365,0.0
¿Cuáles son las principales diferencias entre la tarjeta de crédito y la tarjeta de débito HistoriaCard?,"crédito, débito, diferencias de pago","La tarjeta de crédito tiene línea de crédito, mientras que la tarjeta de débito no.","La tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, mientras que la tarjeta de crédito HistoriaCard es un producto para construir o mejorar el historial crediticio. 
","La tarjeta de crédito HistoriaCard está diseñada para construir o mejorar el historial crediticio, mientras que la tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, segura y sin complicaciones. 
",complejo,0.08,0.6666666666666666,0.4837152406760723,0.0,0.07142857142857142,0.6666666666666666,0.4661834029725221,0.0
¿Cómo acceden los usuarios a la atención al cliente de HistoriaCard?,"chat en vivo, llamadas de emergencia",HistoriaCard ofrece atención al cliente a través de chat en vivo y llamadas de emergencia.,"Informacion no encontrada 
","Informacion no encontrada. 
",simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¿Cuáles son las características principales de la criptomoneda que ofrece HistoriaCard?,N/A,No hay información disponible sobre criptomonedas en el documento.,"Informacion no encontrada 
","La tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, segura y sin complicaciones. 
",no contestable,0.0,0.0,0.10964258683453855,0.0,0.0,0.0,0.0,0.0
¿Cómo ayuda HistoriaCard a los usuarios a invertir en bolsa?,N/A,No hay información disponible sobre inversiones en bolsa.,"HistoriaCard ofrece cursos en línea diseñados por expertos en finanzas, que cubren cómo invertir en la bolsa de valores. 
","Información no encontrada. 
",no contestable,0.0,0.0,0.17072295480357016,0.0,0.0,0.0,0.2695176132460323,0.0
¿Qué opciones de hipotecas ofrece HistoriaCard?,N/A,No hay información disponible sobre hipotecas.,"Información no encontrada. 
","Informacion no encontrada. 
",no contestable,0.0,0.0,0.3187840217537793,0.0,0.0,0.0,0.1362763414390864,0.0
