question,expected_keywords,response_expected,response_tf_idf,response_embeddings,type
¿Cuál es la misión principal de HistoriaCard?,"educación financiera, mejorar historial crediticio",HistoriaCard tiene la misión de mejorar el historial crediticio y educar financieramente a sus usuarios.,"Proporcionar herramientas financieras innovadoras y educativas que empoderen a los usuarios para que mejoren su historial crediticio, gestionen sus finanzas de manera efectiva y adquieran habilidades que les permitan tomar decisiones financieras informadas. 
","La misión de HistoriaCard es proporcionar herramientas financieras innovadoras y educativas que empoderen a los usuarios para que mejoren su historial crediticio, gestionen sus finanzas de manera efectiva y adquieran habilidades que les permitan tomar decisiones financieras informadas. 
",simple
¿Qué productos financieros ofrece HistoriaCard?,"tarjeta de crédito, tarjeta de débito",HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito.,"HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito. 
","HistoriaCard ofrece una tarjeta de crédito y una tarjeta de débito. 
",simple
¿Cómo contribuye HistoriaCard a la inclusión financiera?,"inclusión financiera, accesibilidad, historial crediticio",HistoriaCard busca incluir financieramente a más mexicanos a través de sus productos.,"HistoriaCard promueve la inclusión financiera en México convirtiéndose en la fintech líder y un referente mundial en la inclusión financiera. 
","HistoriaCard promueve la inclusión financiera en México al brindar a sus usuarios las herramientas necesarias para alcanzar la libertad financiera y prosperar. 
",simple
¿Cuáles son las características principales de la tarjeta de crédito HistoriaCard?,"línea de crédito, tasa de interés, pagos mínimos","Línea de crédito de $5,000 a $50,000 MXN, con tasas de 24%-36%.","- Línea de crédito inicial: $5,000 - $50,000 MXN, con posibilidad de aumentos periódicos basados en el comportamiento crediticio del usuario.
- Costo de emisión: Gratuito al abrir una cuenta en la app de HistoriaCard, con la tarjeta enviada directamente al domicilio del usuario. 
","- **Construye o mejora el historial crediticio.**
- **Ofrece una tarjeta de crédito y una tarjeta de débito.**
- **Tiene un programa de recompensas.** 
",simple
¿Qué beneficios adicionales ofrece HistoriaCard con su tarjeta de crédito?,"recompensas, promociones, seguro de compras","Recompensas, seguros de compra, promociones y asistencia en viajes.","Asesoría financiera personalizada para gestionar el préstamo. 
","Informacion no encontrada. 
",simple
¿Cómo ayuda HistoriaCard a sus usuarios a mejorar su historial crediticio?,"manejo de crédito responsable, herramientas educativas",HistoriaCard educa y proporciona herramientas para el manejo responsable del crédito.,"HistoriaCard ayuda a sus usuarios a mejorar su historial crediticio al brindar educación financiera, enseñando a manejar deudas y promoviendo un manejo responsable de las finanzas personales. 
","HistoriaCard ayuda a los usuarios a construir o mejorar su historial crediticio con un enfoque en la educación financiera y la promoción de un manejo responsable de las finanzas personales. 
",medio
¿Qué tasa de interés ofrece la tarjeta de crédito HistoriaCard?,"24%-36%, pagos puntuales","24%-36%, ajustada según el perfil del usuario.","Tasa de interés anual: 24% - 36%, ajustada según el perfil crediticio del usuario y con opciones para reducir la tasa mediante un historial de pagos puntual. 
","24% - 36%, ajustada según el perfil crediticio del usuario y con opciones para reducir la tasa mediante un historial de pagos puntual. 
",medio
¿Qué funciones de seguridad ofrece HistoriaCard en su app?,"bloqueo, alertas, autenticación en dos pasos","HistoriaCard ofrece autenticación biométrica, bloqueo desde la app y alertas en caso de fraude.","HistoriaCard entiende que la seguridad es primordial cuando se trata de finanzas personales. 
","Informacion no encontrada 
",medio
¿Cómo utiliza HistoriaCard la inteligencia artificial en sus servicios?,"IA para análisis crediticio, big data",Utiliza inteligencia artificial y big data para análisis de crédito y personalización.,"HistoriaCard utiliza la inteligencia artificial para ofrecer asesoramiento financiero automatizado y altamente personalizado, así como soluciones personalizadas y altamente eficientes. 
","HistoriaCard utiliza la inteligencia artificial para ofrecer asesoramiento financiero personalizado, evaluar el riesgo crediticio y proporcionar tasas de interés personalizadas. 
",medio
¿Cuáles son los principales objetivos de la expansión internacional de HistoriaCard?,"expansión nacional, mercados emergentes",Expandir su base de usuarios a otras regiones de México y Latinoamérica.,"- Promover la inclusión financiera en México.
- Expandirse a nuevos mercados internacionales. 
- Desarrollar una gama de nuevos productos financieros, incluyendo seguros y herramientas de inversión. 
","HistoriaCard tiene planes de expansión tanto en México como en el extranjero. 
",medio
